n,regime,epsilon,minimax,renyi_converse,fano_converse
69,constant,0.01,0.7790973842037516,0.6635658904867074,0.5221940317192977
70,constant,0.01,0.775840719044134,0.6579894134211157,0.5184163690043835
71,constant,0.01,0.7724914345913967,0.6524051039247054,0.5146387062894694
72,constant,0.01,0.7691487931139229,0.6468137226788672,0.5108610435745553
73,constant,0.01,0.7658156807043127,0.6412160257972663,0.5070833808596411
74,constant,0.01,0.7625126568897196,0.635612764706115,0.5033057181447269
75,constant,0.01,0.759225011117911,0.6300046860295132,0.4995280554298128
76,constant,0.01,0.7558627641607915,0.6243925314795619,0.4957503927148986
77,constant,0.01,0.7525111817572291,0.6187770377510566,0.49197272999998454
78,constant,0.01,0.7491498287264114,0.613158936420511,0.48819506728507034
79,constant,0.01,0.7458420080297106,0.6075389538493629,0.48441740457015625
80,constant,0.01,0.7425377681716976,0.6019178110911055,0.48063974185524205
81,constant,0.01,0.7391821004765763,0.5962962238023076,0.47686207914032797
82,constant,0.01,0.7358370338165742,0.5906749021572295,0.47308441642541377
83,constant,0.01,0.7324538095768816,0.5850545507660128,0.46930675371049957
84,constant,0.01,0.7291186497432534,0.5794358685962072,0.4655290909955855
85,constant,0.01,0.7258017508234338,0.5738195488976735,0.4617514282806713
86,constant,0.01,0.7224652195281555,0.568206279130528,0.4579737655657572
87,constant,0.01,0.7191326723040714,0.56259674089625,0.454196102850843
88,constant,0.01,0.7157644916882486,0.5569916098717247,0.4504184401359288
89,constant,0.01,0.7123891431361639,0.5513915557461345,0.4466407774210146
90,constant,0.01,0.7090312588592406,0.5457972421606861,0.4428631147061005
91,constant,0.01,0.7057210129103773,0.5402093266510184,0.4390854519911863
92,constant,0.01,0.7024081043754601,0.5346284605922691,0.43530778927627223
93,constant,0.01,0.6990668711480218,0.5290552891466929,0.43153012656135803
94,constant,0.01,0.6957238307996442,0.5234904512137796,0.42775246384644394
95,constant,0.01,0.6923663259806172,0.5179345793828316,0.42397480113152974
96,constant,0.01,0.6889919169986324,0.5123882998878702,0.42019713841661555
97,constant,0.01,0.6856675690059475,0.5068522325649178,0.41641947570170146
98,constant,0.01,0.6823618658556583,0.5013269908114814,0.41264181298678726
99,constant,0.01,0.6790551790353665,0.4958131815483117,0.4088641502718732
100,constant,0.01,0.6757331062399188,0.4903114051832398,0.405086487556959
101,constant,0.01,0.6724018823267938,0.48482225557723985,0.4013088248420449
102,constant,0.01,0.6690677453437632,0.47934632001240945,0.3975311621271307
103,constant,0.01,0.6657190005613481,0.4738841791621121,0.3937534994122166
104,constant,0.01,0.66238374044443,0.4684364070630029,0.3899758366973024
105,constant,0.01,0.6591004901373393,0.46300357108902035,0.3861981739823882
106,constant,0.01,0.6558161612117713,0.4575862319272868,0.382420511267474
107,constant,0.01,0.6525267864585172,0.45218494355581973,0.3786428485525599
108,constant,0.01,0.6492274543441967,0.4468002532231141,0.3748651858376457
109,constant,0.01,0.645927596189175,0.44143270142945096,0.3710875231227315
110,constant,0.01,0.6426203517511524,0.43608282191002956,0.36730986040781743
111,constant,0.01,0.639309161502801,0.4307511416196675,0.36353219769290324
112,constant,0.01,0.6359992950334447,0.4254381807193412,0.35975453497798915
113,constant,0.01,0.6327405392719558,0.42014445256426325,0.35597687226307495
114,constant,0.01,0.6294935242747106,0.41487046369356806,0.35219920954816086
115,constant,0.01,0.626240555548369,0.40961671382166176,0.34842154683324666
116,constant,0.01,0.6229862231853927,0.40438369583097555,0.3446438841183326
117,constant,0.01,0.619730353940904,0.3991718957663711,0.3408662214034184
118,constant,0.01,0.6164708739299013,0.39398179283094953,0.3370885586885042
119,constant,0.01,0.6132125022518377,0.3888138593833811,0.3333108959735901
120,constant,0.01,0.6099520766662899,0.38366856093653134,0.3295332332586759
121,constant,0.01,0.6066915250474064,0.3785463561576567,0.3257555705437618
122,constant,0.01,0.6034721802904245,0.3734476968698378,0.3219779078288476
123,constant,0.01,0.6002690141096362,0.3683730280548616,0.3182002451139335
124,constant,0.01,0.5970717888005587,0.36332278785726935,0.3144225823990193
125,constant,0.01,0.5938734777300784,0.3582974075898884,0.31064491968410524
126,constant,0.01,0.5906765118720964,0.35329731174046786,0.30686725696919104
127,constant,0.01,0.5874809128657412,0.34832291797961473,0.30308959425427695
128,constant,0.01,0.5842858953183535,0.3433746371699359,0.29931193153936275
129,constant,0.01,0.5810938602178198,0.3384528733763886,0.29553426882444855
130,constant,0.01,0.5779034290097292,0.3335580238777768,0.29175660610953447
131,constant,0.01,0.5747157129934836,0.32869047917935457,0.28797894339462027
132,constant,0.01,0.5715496965306099,0.3238506230265614,0.2842012806797062
133,constant,0.01,0.5684036752594629,0.31903883241995534,0.280423617964792
134,constant,0.01,0.5652738571897786,0.3142554776309756,0.2766459552498779
135,constant,0.01,0.5621496582425807,0.3095009222190121,0.2728682925349637
136,constant,0.01,0.5590298541454034,0.30477552304930217,0.2690906298200496
137,constant,0.01,0.5559137301278931,0.30007963031195606,0.2653129671051354
138,constant,0.01,0.552801053191539,0.2954135875418539,0.2615353043902213
139,constant,0.01,0.5496930858615254,0.29077773163960596,0.2577576416753071
140,constant,0.01,0.5465892840887699,0.28617239289334406,0.2539799789603929
141,constant,0.01,0.5434903150810055,0.2815978950014909,0.25020231624547884
142,constant,0.01,0.5403966835202317,0.27705455509640825,0.24642465353056464
143,constant,0.01,0.537308180596335,0.2725426837689061,0.24264699081565055
144,constant,0.01,0.5342384870005524,0.2680625850936431,0.23886932810073636
145,constant,0.01,0.5311868473759348,0.2636145566552442,0.23509166538582216
146,constant,0.01,0.5281470642490771,0.25919888957538173,0.23131400267090796
147,constant,0.01,0.5251187272144171,0.2548158685405674,0.22753633995599387
148,constant,0.01,0.5220985035820911,0.25046577183065716,0.22375867724107967
149,constant,0.01,0.519087113770415,0.24614887134823818,0.21998101452616559
150,constant,0.01,0.5160814985796174,0.24186543264866883,0.2162033518112514
151,constant,0.01,0.5130824759801494,0.23761571497087208,0.2124256890963373
152,constant,0.01,0.510090191639271,0.23339997126866543,0.2086480263814231
153,constant,0.01,0.5071045653385765,0.229218448243157,0.2048703636665089
154,constant,0.01,0.5041261341553585,0.22507138637524768,0.20109270095159482
155,constant,0.01,0.5011549070873774,0.2209590199593458,0.19731503823668062
156,constant,0.01,0.498191088244974,0.21688157713723213,0.19353737552176653
157,constant,0.01,0.4952350418353244,0.2128392799328579,0.18975971280685233
158,constant,0.01,0.4922971289939365,0.20883234428754513,0.18598205009193824
159,constant,0.01,0.4893646633512738,0.20486098009583187,0.18220438737702405
160,constant,0.01,0.48645414687477995,0.20092539124191658,0.17842672466210996
161,constant,0.01,0.4835503283949246,0.19702577563646573,0.17464906194719576
162,constant,0.01,0.4806573667300642,0.19316232525421473,0.17087139923228167
163,constant,0.01,0.47777749497595234,0.18933522617180376,0.16709373651736747
164,constant,0.01,0.47490487187474756,0.18554465860631825,0.16331607380245328
165,constant,0.01,0.47204523155205863,0.18179079695412684,0.1595384110875392
166,constant,0.01,0.46919251863996514,0.1780738098303476,0.155760748372625
167,constant,0.01,0.46635011763876855,0.17439386010859106,0.1519830856577109
168,constant,0.01,0.46351590863544745,0.17075110496134083,0.1482054229427967
169,constant,0.01,0.46069089546419945,0.16714569590042633,0.14442776022788262
170,constant,0.01,0.45787487189877085,0.16357777881833035,0.14065009751296842
171,constant,0.01,0.4550679369373589,0.1600474940294726,0.13687243479805433
172,constant,0.01,0.45227028859151513,0.15655497631201587,0.13309477208314013
173,constant,0.01,0.44948197132764506,0.1531003549502547,0.12931710936822605
174,constant,0.01,0.44670314277324796,0.1496837537769005,0.12553944665331196
175,constant,0.01,0.44393393384500884,0.1463052912160311,0.12176178393839776
176,constant,0.01,0.44118451528038677,0.14296508032632405,0.11798412122348345
177,constant,0.01,0.43843275576279256,0.13966322884438656,0.11420645850856925
178,constant,0.01,0.4357113766611969,0.13639983922862087,0.11042879579365517
179,constant,0.01,0.43298234269781904,0.1331750087032584,0.10665113307874097
180,constant,0.01,0.4302831510662767,0.12998882930256528,0.10287347036382688
181,constant,0.01,0.42758142827567497,0.12684138791543936,0.09909580764891268
