n,regime,epsilon,minimax,legacy_converse,continuous_converse,absolute_improvement,legacy_selected_branch,legacy_selected_order,continuous_selected_branch,continuous_selected_order,legacy_reverse,continuous_reverse,reverse_absolute_improvement,legacy_reverse_order,continuous_reverse_order,continuous_reverse_a,continuous_reverse_objective,continuous_reverse_endpoint,continuous_reverse_adjacent_mesh_best,legacy_forward,continuous_forward,forward_absolute_improvement,legacy_forward_order,continuous_forward_order,continuous_forward_a,continuous_forward_log_bound,continuous_forward_endpoint,continuous_forward_adjacent_mesh_best,minimax_minus_continuous_converse
8,constant,0.01,0.9650309040837114,0.9587934136253012,0.9587957946612161,2.381035914877927e-06,reverse,7.142857142857142,reverse,7.0453488763978145,0.9587934136253012,0.9587957946612161,2.381035914877927e-06,7.142857142857142,7.0453488763978145,0.8580623873219341,3.189214956505874,finite,0.9587934136253012,0.8039447674031163,0.803947587362149,2.8199590327293578e-06,1.282051282051282,1.2792644448710169,0.2183007946407624,-0.21822120177619458,finite,0.8039447674031163,0.0062351094224952774
8,linear,0.125,0.7304513320845086,0.6808632697196935,0.6808706062455008,7.336525807311034e-06,reverse,4.0,reverse,3.9714633587558468,0.6808632697196935,0.6808706062455008,7.336525807311034e-06,4.0,3.9714633587558468,0.7482036444336545,1.1421586353852282,finite,0.6808632697196935,0.5892682970487714,0.5892823812405978,1.4084191826468917e-05,2.0408163265306123,2.055634742923978,0.5135322539949003,-0.528849785361226,finite,0.5892682970487714,0.049580725839007855
9,constant,0.01,0.9614503967420583,0.954892645941277,0.9548938147937653,1.1688524883535223e-06,reverse,6.249999999999999,reverse,6.299094027446802,0.954892645941277,0.9548938147937653,1.1688524883535223e-06,6.249999999999999,6.299094027446802,0.8412470117698294,3.0987358976145103,finite,0.954892645941277,0.7869315748961426,0.7869346811875736,3.1062914309654133e-06,1.2658227848101264,1.2631196318259568,0.20830935185893118,-0.23961003122955757,finite,0.7869315748961426,0.0065565819482930054
9,linear,0.1111111111111111,0.747800781663298,0.6924802355422102,0.692482907128583,2.6715863727933e-06,reverse,3.846153846153846,reverse,3.830151811050787,0.6924802355422102,0.692482907128583,2.6715863727933e-06,3.846153846153846,3.830151811050787,0.7389137430232422,1.179224606706727,finite,0.6924802355422102,0.588713367980261,0.5887159250984351,2.5571181740957627e-06,1.923076923076923,1.928626268493735,0.48149622540348164,-0.529811512016986,finite,0.588713367980261,0.05531787453471504
10,constant,0.01,0.9594654014016932,0.9510049503399017,0.951012842514602,7.89217470031911e-06,reverse,5.882352941176469,reverse,5.778529380951069,0.9510049503399017,0.951012842514602,7.89217470031911e-06,5.882352941176469,5.778529380951069,0.8269455887346525,3.0161971073583915,finite,0.9510049503399018,0.7704659829664141,0.7704661166213719,1.336549577679591e-07,1.25,1.249479086690184,0.1996664764922502,-0.2607596010210254,finite,0.7704659829664141,0.008452558887091177
10,linear,0.1,0.7520390409523334,0.7012990089635186,0.7012990190416061,1.00780874756623e-08,reverse,3.7037037037037033,reverse,3.7046215630971746,0.7012990089635186,0.7012990190416061,1.00780874756623e-08,3.7037037037037033,3.7046215630971746,0.7300668953716368,1.2083122696730855,finite,0.7012990089635187,0.5861609206019669,0.5861734447874036,1.252418543673528e-05,1.8181818181818181,1.8290830954586192,0.4532779825679474,-0.5341395523329432,finite,0.5861609206019669,0.05074002191072735
11,constant,0.01,0.955947259710399,0.9471122468974836,0.9471281722754424,1.592537795880311e-05,reverse,5.263157894736841,reverse,5.382173148054055,0.9471122468974836,0.9471281722754424,1.592537795880311e-05,5.263157894736841,5.382173148054055,0.814201443823569,2.9398846391685614,finite,0.9471122468974836,0.7544904299928666,0.7544961894618759,5.759469009269935e-06,1.2345679012345678,1.2377565315920318,0.1920866709434559,-0.2817050512019955,finite,0.7544904299928666,0.008819087434956518
11,linear,0.09090909090909091,0.7648039769089541,0.7080475241783764,0.7080534594153668,5.935236990439741e-06,reverse,3.571428571428571,reverse,3.592318089708122,0.7080475241783764,0.7080534594153668,5.935236990439741e-06,3.571428571428571,3.592318089708122,0.7216282146993139,1.2311845736646914,finite,0.7080475241783764,0.582236178567856,0.5822399517323691,3.773164513054539e-06,1.7543859649122808,1.7489220260412157,0.4282192201195174,-0.5408726280181789,finite,0.582236178567856,0.05675051749358728
12,constant,0.01,0.9538775628986088,0.9432198195832088,0.9432261499855971,6.330402388288192e-06,reverse,4.999999999999998,reverse,5.064799413868964,0.9432198195832088,0.9432261499855971,6.330402388288192e-06,4.999999999999998,5.064799413868964,0.8025588146172787,2.8686794463360674,finite,0.9432198195832088,0.7389580277209935,0.7389879385710212,2.9910850027681235e-05,1.2345679012345678,1.227541064552028,0.18536330158133282,-0.3024736794512681,finite,0.7389580277209935,0.010651412913011749
12,linear,0.08333333333333333,0.7665700778438078,0.7132131544937361,0.7132413651652421,2.8210671505934926e-05,reverse,3.4482758620689653,reverse,3.491141963806643,0.7132131544937361,0.7132413651652421,2.8210671505934926e-05,3.4482758620689653,3.491141963806643,0.7135607745639687,1.2491144106631495,finite,0.7132131544937361,0.5772839864961781,0.577305405846159,2.1419349980900115e-05,1.6949152542372883,1.6829610633815162,0.4058091884842932,-0.5493838529435725,finite,0.5772839864961781,0.05332871267856576
