n,epsilon,minimax_beta_master,worst_type_i,worst_type_i_s,worst_type_ii,worst_type_ii_t,reverse_beta,reverse_order,reverse_D,reverse_s,reverse_t,forward_beta,forward_order,forward_D,forward_s,forward_t,converse_max,converse_winner,minimax_minus_converse,separator_null_violation,separator_alternative_violation,dense_null_violation,dense_alternative_violation
13,0.15721846350996826,0.28611072433269175,0.15721846350996865,0.0,0.2861107247681123,0.9438375396579042,0.05997791786471156,1.2240648271334218,0.11632479397293032,0.0,0.6621510950046016,0.11478533295290451,1.427592671553381,0.12258612722428637,0.0,0.5339013902744427,0.11478533295290451,forward,0.17132539137978725,3.885780586188048e-16,4.3542053296263816e-10,3.885780586188048e-16,4.2975500935682476e-10
14,0.13636286844494455,0.2979944029135374,0.13636286844494458,0.0,0.29799440316980025,0.6205153729888297,0.0644397691726635,1.2240648271334218,0.11632479397293032,0.0,0.6621510950046016,0.11077229033532529,1.3784542861274927,0.11902171865313783,0.0,0.5364957440282385,0.11077229033532529,forward,0.1872221125782121,2.7755575615628914e-17,2.562628442781545e-10,2.7755575615628914e-17,2.401203125224072e-10
15,0.11827384313137164,0.3090356545292877,0.11827384313137154,0.0,0.3090356546512147,0.6205153705960753,0.06888044213015686,1.2240648271334218,0.11632479397293032,0.0,0.6621510950046016,0.10657034911891482,1.336555783043274,0.11593803972695076,0.0,0.5387563057504398,0.10657034911891482,forward,0.2024653054103729,-9.71445146547012e-17,1.2192696852153517e-10,-9.71445146547012e-17,1.142484995497739e-10
16,0.10258439213393437,0.31734681223680866,0.10258439213393367,0.0,0.3173468122952524,0.6205153738557548,0.07330003726105427,1.2240648271334218,0.11632479397293032,0.0,0.6621510950046016,0.10223794004384873,1.3004931974881075,0.113251318151682,0.0,0.5407383962833965,0.10223794004384873,forward,0.21510887219295993,-7.077671781985373e-16,5.844374983965395e-11,-7.355227538141662e-16,5.476197273424077e-11
17,0.0889762032827484,0.3267143320544076,0.08897620328274895,0.0,0.3267143322628254,0.6205153718216583,0.07769865461207805,1.2240648271334218,0.11632479397293032,0.0,0.6621510950046016,0.09782525470152188,1.269208763140973,0.11089632690233611,0.0,0.5424855847959182,0.09782525470152188,forward,0.22888907735288572,5.551115123125783e-16,2.084178385430846e-10,5.828670879282072e-16,1.9529061701106798e-10
18,0.07717318966297355,0.3370741796576481,0.07717318966297368,0.0,0.3370741799504645,0.6205153725369132,0.08207639375507478,1.2240648271334218,0.11632479397293032,0.0,0.6621510950046016,0.09337541249641566,1.2418882118400372,0.10882140833178654,0.0,0.544032751968399,0.09337541249641566,forward,0.2436987671612324,1.249000902703301e-16,2.928164377635767e-10,1.249000902703301e-16,2.7437208061087404e-10
19,0.06693588828274982,0.34513935597190404,0.0669358882827492,0.0,0.34513935608318896,0.6205153706307028,0.0864333537892694,1.2240648271334218,0.11632479397293032,0.0,0.6621510950046016,0.08892538966058863,1.2178933066572764,0.10698506173267726,0.0,0.5454082083038061,0.08892538966058863,forward,0.25621396631131543,-6.245004513516506e-16,1.1128492571899073e-10,-5.967448757360216e-16,1.0427703145410305e-10
20,0.05805660177799282,0.3518659841346026,0.05805660177799282,0.0,0.3518659842340984,0.6205153733195508,0.09076963334350861,1.2240648271334218,0.11632479397293032,0.0,0.6621510950046016,0.08450677387688454,1.1967156067126652,0.10535350170121481,0.0,0.5466352065522353,0.09076963334350861,reverse,0.261096350791094,0.0,9.949574497625235e-11,6.938893903907228e-18,9.322803640188226e-11
21,0.05035518458753424,0.36190345595796136,0.050355184587534074,0.0,0.361903456206107,0.6205153714424418,0.09508533057849337,1.2240648271334218,0.11632479397293032,0.0,0.6621510950046016,0.08014639040186121,1.1779446105573141,0.10389892536593355,0.0,0.5477331080395271,0.09508533057849337,reverse,0.266818125379468,-1.6653345369377348e-16,2.4814561516706135e-10,-1.8041124150158794e-16,2.3251756076092533e-10
22,0.043675388107297375,0.3699513270576789,0.04367538810729735,0.0,0.3699513272849917,0.6205153723093164,0.09938054318900112,1.2240648271334218,0.11632479397293032,0.0,0.6621510950046016,0.07586683264587961,1.1612446670397296,0.10259820940926113,0.0,0.548718082217898,0.09938054318900112,reverse,0.2705707838686778,-2.7755575615628914e-17,2.2731277971033137e-10,-2.7755575615628914e-17,2.1299501051785796e-10
23,0.03788169067292578,0.37594488418990685,0.03788169067292635,0.0,0.37594488424837813,0.6205153691023444,0.10365536840609722,1.2240648271334218,0.11632479397293032,0.0,0.6621510950046016,0.07168692079969423,1.1463386143621457,0.10143196996559692,0.0,0.5496038326223921,0.10365536840609722,reverse,0.2722895157838096,5.689893001203927e-16,5.847128337066465e-11,5.551115123125783e-16,5.47897283098564e-11
24,0.03285654805662656,0.38404797257263273,0.032856548056626675,0.0,0.3840479728068805,0.620515371750479,0.10790990299933602,1.2240648271334218,0.11632479397293032,0.0,0.6621510950046016,0.06762210533584169,1.132995066927392,0.1003838021363783,0.0,0.5504020341809589,0.10790990299933602,reverse,0.27613806957329673,1.1796119636642288e-16,2.342477878336524e-10,1.249000902703301e-16,2.1949397854825747e-10
25,0.028498008695503448,0.39220744690694026,0.02849800869550538,0.0,0.3922074471564164,0.6205153709604028,0.11214424327895142,1.2240648271334218,0.11632479397293032,0.0,0.6621510950046016,0.06368482734069662,1.1210194320672373,0.09943974074505679,0.0,0.5511226917438791,0.11214424327895142,reverse,0.28006320362798887,1.932481952238163e-15,2.4947616195092337e-10,1.925543058334256e-15,2.3376445223988185e-10
