n,regime,epsilon,minimax,achievability,converse,converse_reverse,converse_forward,achievability_lambda,converse_reverse_lambda,converse_forward_lambda,lp_objective,worst_type_i,worst_type_i_s,worst_type_ii,worst_type_ii_t,lp_iterations,active_null_constraints,active_alternative_constraints,achievability_type_i,achievability_worst_s,achievability_worst_t,achievability_eta,achievability_threshold,projection_s,projection_t,projection_D,achievability_minus_minimax,minimax_minus_converse,type_count
13,linear,0.07692307692307693,0.7754631986435334,0.7911734089881347,0.7171694677160924,0.7171694677160924,0.5716155942003954,0.001,3.4482758620689653,1.639344262295082,0.7754631986435334,0.07692307692307679,1.0,0.775463199637786,0.48260384368094933,9.0,17.0,25.0,0.07692307692307693,1.0,1.0,0.126544113967483,0.7085118002676594,1.0,0.44678324054271057,1.697483024924677e-05,0.015710210344601294,0.058293730927441056,105
14,constant,0.01,0.9483317821442327,0.9497719630327621,0.9353363407754893,0.9353363407754893,0.7092133623724615,0.001,4.545454545454546,1.2048192771084336,0.9483317821442327,0.010000000000000812,1.0,0.948331783417877,0.48245375715919614,8.0,17.0,24.0,0.01,1.0,0.8199147030711174,0.12524799154842015,1.3386713092518003,1.0,0.44678324054271057,1.697483024924677e-05,0.0014401808885293743,0.012995441368743421,120
14,linear,0.07142857142857142,0.776006776481205,0.7944861469133792,0.7202003642946109,0.7202003642946109,0.5654252405413163,0.001,3.333333333333333,1.5873015873015872,0.776006776481205,0.07142857142857183,1.0,0.7760067781227278,0.36705452184503723,11.0,17.0,27.0,0.07142857142857142,1.0,0.0,0.40119796250451506,0.844859859600622,1.0,0.44678324054271057,1.697483024924677e-05,0.01847937043217418,0.0558064121865941,120
15,constant,0.01,0.9449819332708432,0.9486032194126317,0.9313401857356529,0.9313401857356529,0.6949476157638755,0.001,4.347826086956522,1.2048192771084336,0.9449819332708432,0.00999999999999961,1.0,0.9449819352621096,0.6279565610265794,7.0,17.0,23.0,0.01,1.0,0.0,0.8205209643500025,1.5213329228980854,1.0,0.44678324054271057,1.697483024924677e-05,0.003621286141788471,0.013641747535190318,136
15,linear,0.06666666666666667,0.782406456881898,0.7922424940109317,0.7224138457916416,0.7224138457916416,0.5588286077908744,0.001,3.2258064516129026,1.5384615384615388,0.782406456881898,0.06666666666666617,1.0,0.7824064579088963,0.4826357827682033,9.0,17.0,25.0,0.06666666666666667,1.0,0.9604108333587646,0.48457305147323376,0.8115913494756625,1.0,0.44678324054271057,1.697483024924677e-05,0.009836037129033692,0.05999261109025644,136
16,constant,0.01,0.942826000530566,0.9438801735617333,0.9273027776226327,0.9273027776226327,0.680986645838429,0.001,4.166666666666667,1.1904761904761905,0.942826000530566,0.010000000000001156,1.0,0.9428260016797858,0.4825228807482203,8.0,17.0,24.0,0.01,1.0,0.7603553891181949,0.5549050577126831,1.4417508584598036,1.0,0.44678324054271057,1.697483024924677e-05,0.0010541730311672826,0.015523222907933287,153
16,linear,0.0625,0.7821454058785777,0.8004935320731595,0.7239401410309558,0.7239401410309558,0.5519045748312392,0.001,3.1249999999999996,1.5151515151515154,0.7821454058785777,0.06250000000000148,1.0,0.7821454069222055,0.3886017933260567,8.0,17.0,24.0,0.0625,1.0,0.0,0.793852747394723,0.947939408808625,1.0,0.44678324054271057,1.697483024924677e-05,0.018348126194581815,0.058205264847621896,153
17,constant,0.01,0.9394972730075942,0.9447035444613531,0.9232196039492189,0.9232196039492189,0.6674438870181824,0.001,4.0,1.1904761904761905,0.9394972730075942,0.010000000000000977,1.0,0.9394972737358631,0.5828566553706266,9.0,17.0,25.0,0.01,1.0,0.0,0.5522760762800447,1.5780989177927662,1.0,0.44678324054271057,1.697483024924677e-05,0.005206271453758848,0.016277669058375355,171
17,linear,0.058823529411764705,0.7869739816956319,0.795207022142189,0.7249970284880871,0.7249970284880871,0.5448119463469735,0.001,3.1249999999999996,1.4705882352941178,0.7869739816956319,0.05882352941176508,1.0,0.7869739827509226,0.48269109034198726,9.0,17.0,25.0,0.058823529411764705,1.0,0.8794956684112549,0.9487718359733653,0.9146708986836656,1.0,0.44678324054271057,1.697483024924677e-05,0.008233040446557038,0.061976953207544816,171
18,constant,0.01,0.9373297689022958,0.938571257381456,0.9191067781268656,0.9191067781268656,0.6541704525930382,0.001,4.0,1.1904761904761905,0.9373297689022958,0.010000000000000566,1.0,0.9373297704429816,0.482543656166266,8.0,17.0,24.0,0.01,1.0,0.7514463873580097,0.14942345716124045,1.4985168533544844,1.0,0.44678324054271057,1.697483024924677e-05,0.0012414884791601688,0.018222990775430215,190
18,linear,0.05555555555555555,0.786362055734274,0.8058320802342703,0.7255782017933385,0.7255782017933385,0.537547117224548,0.001,3.03030303030303,1.4492753623188408,0.786362055734274,0.055555555555556024,1.0,0.7863620572582177,0.3604199317994251,11.0,17.0,27.0,0.05555555555555555,1.0,0.0,0.40658936810567636,1.0047054037033059,1.0,0.44678324054271057,1.697483024924677e-05,0.019470024499996352,0.06078385394093544,190
19,constant,0.01,0.9338678174151743,0.9413944571288534,0.9149680920259868,0.9149680920259868,0.6412456802220151,0.001,3.846153846153846,1.1764705882352942,0.9338678174151743,0.010000000000000026,1.0,0.9338678182542184,0.6895399766784414,9.0,17.0,25.0,0.01,1.0,0.0,0.38884450608881754,1.6348649126874473,1.0,0.44678324054271057,1.697483024924677e-05,0.007526639713679062,0.018899725389187494,210
